normalization,rho,lambda,top_alternative,top_stable,full_ranking_stable,spearman,kendall_tau,ranking,score_A1,rank_A1,score_A2,rank_A2,score_A3,rank_A3,score_A4,rank_A4,score_A5,rank_A5
max,1.0,1.0,A1,True,True,1.0,1.0,A1 > A2 > A3 > A4 > A5,1.0,1,0.47366796564750147,2,0.29634236819083803,3,0.17234685579229628,4,0.0,5
max,1.0,1.5,A1,True,True,1.0,1.0,A1 > A2 > A3 > A4 > A5,1.0,1,0.5278915126283279,2,0.330171941582255,3,0.23437471552876635,4,0.0,5
max,1.0,2.25,A1,True,True,1.0,1.0,A1 > A2 > A3 > A4 > A5,1.0,1,0.5783013362075333,2,0.3616221679391569,3,0.2920399484471663,4,0.0,5
max,1.0,3.0,A1,True,True,1.0,1.0,A1 > A2 > A3 > A4 > A5,1.0,1,0.6099832888714308,2,0.381388247484003,3,0.32828183643558195,4,0.0,5
max,1.0,5.0,A1,True,True,1.0,1.0,A1 > A2 > A3 > A4 > A5,1.0,1,0.6559869466510317,2,0.41008950743069983,3,0.3809067308034598,4,0.0,5
max,2.0,1.0,A1,True,True,1.0,1.0,A1 > A2 > A3 > A4 > A5,1.0,1,0.4504764839354801,2,0.3076107635574464,3,0.1740036364771818,4,0.0,5
max,2.0,1.5,A1,True,True,1.0,1.0,A1 > A2 > A3 > A4 > A5,1.0,1,0.48704750139649455,2,0.3344268042451719,3,0.21948484365861826,4,0.0,5
max,2.0,2.25,A1,True,True,1.0,1.0,A1 > A2 > A3 > A4 > A5,1.0,1,0.520780203753182,2,0.3591616238292364,3,0.26143620654617633,4,0.0,5
max,2.0,3.0,A1,True,True,1.0,1.0,A1 > A2 > A3 > A4 > A5,1.0,1,0.5418508891488493,2,0.37461190101911235,3,0.28764056930301757,4,0.0,5
max,2.0,5.0,A1,True,True,1.0,1.0,A1 > A2 > A3 > A4 > A5,1.0,1,0.5722696979887696,2,0.3969167771793946,3,0.3254706392083947,4,0.0,5
max,3.0,1.0,A1,True,True,1.0,1.0,A1 > A2 > A3 > A4 > A5,1.0,1,0.4478821886864933,2,0.3181353576921102,3,0.18658764975241918,4,0.0,5
max,3.0,1.5,A1,True,True,1.0,1.0,A1 > A2 > A3 > A4 > A5,1.0,1,0.4719955461495676,2,0.3405252161749921,3,0.22091487657347544,4,0.0,5
max,3.0,2.25,A1,True,True,1.0,1.0,A1 > A2 > A3 > A4 > A5,1.0,1,0.49411322442827366,2,0.36106203637468753,3,0.2524010999329121,4,0.0,5
