method,normalization,theta,rho,lambda,alpha,beta,top_alternative,top_stable,full_ranking_stable,spearman,kendall_tau,ranking,score_A1,rank_A1,score_A2,rank_A2,score_A3,rank_A3,score_A4,rank_A4,score_A5,rank_A5
classical_todim,max,0.5,3.0,2.25,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.24436176226383416,4,0.6781917172176608,2,0.6106757346940456,3,0.0,5
classical_todim,max,1.0,3.0,2.25,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.24404571432602085,4,0.6659282760348587,2,0.599627258204866,3,0.0,5
classical_todim,max,2.0,3.0,2.25,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.24345706489142435,4,0.6430872229705373,2,0.5790491159030818,3,0.0,5
classical_todim,max,5.0,3.0,2.25,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.24197567984595245,4,0.5856058215732708,2,0.5272625168208097,3,0.0,5
classical_todim,max,10.0,3.0,2.25,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.24016899949854958,4,0.5155021584081358,2,0.46410416976798147,3,0.0,5
classical_todim,max_min,0.5,3.0,2.25,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4091587193439901,4,0.7931041716647179,2,0.6828316300996095,3,0.0,5
classical_todim,max_min,1.0,3.0,2.25,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.40648001586386073,4,0.7802145729390976,2,0.6709501981069461,3,0.0,5
classical_todim,max_min,2.0,3.0,2.25,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.401467373012884,4,0.7560943388843686,2,0.6487165408249119,3,0.0,5
classical_todim,max_min,5.0,3.0,2.25,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.3887157985174198,4,0.6947352972488787,2,0.5921567288520232,3,0.0,5
classical_todim,max_min,10.0,3.0,2.25,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.37289359159133867,4,0.6186007419523503,2,0.521977077778065,3,0.0,5
